,id,price,distance,address
0,1,"£435,000",0.1,Hackney Downs
1,1,"£435,000",0.2,Hackney Central
2,2,"£350,000",0.2,Homerton
3,2,"£350,000",0.5,Hackney Central
4,3,"£1,120,000",0.4,Homerton
5,3,"£1,120,000",0.8,Hackney Central
6,4,"£450,000",0.3,Hackney Downs
7,4,"£450,000",0.3,Hackney Central
8,5,"£370,000",0.1,Hackney Downs
9,5,"£370,000",0.2,Hackney Central
10,6,"£800,000",0.3,London Fields
11,6,"£800,000",0.4,Cambridge Heath
12,7,"£275,000",0.5,Homerton
13,7,"£275,000",0.9,Hackney Wick
14,8,"£799,950",0.1,Haggerston
15,8,"£799,950",0.3,Dalston Junction
16,9,"£450,000",0.5,London Fields
17,9,"£450,000",0.6,Homerton
18,10,"£500,000",0.5,Clapton
19,10,"£500,000",0.6,Hackney Downs
20,11,"£650,000",0.1,Hackney Central
21,11,"£650,000",0.2,Hackney Downs
22,12,"£420,000",0.3,Hackney Downs
23,12,"£420,000",0.5,Dalston Kingsland
24,13,"£825,000",0.3,Homerton
25,13,"£825,000",0.6,Hackney Central
26,14,"£385,000",0.2,Cambridge Heath
27,14,"£385,000",0.4,London Fields
28,15,"£330,000",0.3,Homerton
29,15,"£330,000",0.4,Hackney Central
30,16,"£500,000",0.4,Clapton
31,16,"£500,000",0.5,Hackney Downs
32,17,"£525,000",0.2,Haggerston
33,17,"£525,000",0.3,Hoxton
34,18,"£390,000",0.3,Clapton
35,18,"£390,000",0.6,Stoke Newington
36,19,"£375,000",0.4,London Fields
37,19,"£375,000",0.4,Haggerston
38,20,"£425,000",0.1,Hackney Central
39,20,"£425,000",0.2,Hackney Downs
40,21,"£500,000",0.2,Haggerston
41,21,"£500,000",0.4,Dalston Junction
42,22,"£1,300,000",0.3,Hackney Downs
43,22,"£1,300,000",0.3,Dalston Kingsland
44,23,"£350,000",0.4,Clapton
45,23,"£350,000",0.6,Lea Bridge
46,24,"£400,000",0.3,Clapton
47,24,"£400,000",0.4,Rectory Road
48,25,"£875,000",0.4,Homerton
49,25,"£875,000",0.8,Hackney Central
50,26,"£350,000",0.2,Clapton
51,26,"£350,000",0.4,Rectory Road
52,27,"£450,000",0.3,Clapton
53,27,"£450,000",0.7,Lea Bridge
54,28,"£405,000",0.4,Hackney Central
55,28,"£405,000",0.5,London Fields
56,29,"£750,000",0.4,Homerton
57,29,"£750,000",0.4,Hackney Central
58,30,"£450,000",0.1,Hackney Downs
59,30,"£450,000",0.2,Hackney Central
60,31,"£600,000",0.2,Dalston Kingsland
61,31,"£600,000",0.3,Dalston Junction
62,32,"£425,000",0.4,Clapton
63,32,"£425,000",0.7,Lea Bridge
64,33,"£450,000",0.1,Hackney Downs
65,33,"£450,000",0.4,Hackney Central
66,34,"£700,000",0.5,Hackney Central
67,34,"£700,000",0.6,Hackney Downs
68,35,"£435,000",0.1,Haggerston
69,35,"£435,000",0.4,Dalston Junction
70,36,"£575,000",0.3,London Fields
71,36,"£575,000",0.5,Dalston Junction
72,37,"£475,000",0.3,Dalston Kingsland
73,37,"£475,000",0.4,Hackney Downs
74,38,"£500,000",0.3,Hackney Central
75,38,"£500,000",0.3,Hackney Downs
76,39,"£635,000",0.4,Clapton
77,39,"£635,000",0.6,Lea Bridge
78,40,"£1,400,000",0.5,Homerton
79,40,"£1,400,000",0.6,Hackney Central
80,41,"£725,000",0.1,Hackney Central
81,41,"£725,000",0.2,Hackney Downs
82,42,"£1,200,000",0.4,Hackney Central
83,42,"£1,200,000",0.4,Hackney Downs
84,43,"£315,000",0.2,Hackney Downs
85,43,"£315,000",0.2,Hackney Central
86,44,"£375,000",0.5,London Fields
87,44,"£375,000",0.6,Homerton
88,45,"£750,000",0.7,Homerton
89,45,"£750,000",0.7,Clapton
90,46,"£620,000",0.2,Rectory Road
91,46,"£620,000",0.3,Clapton
92,47,"£375,000",0.2,Haggerston
93,47,"£375,000",0.3,Dalston Junction
94,48,"£500,000",0.4,Hackney Downs
95,48,"£500,000",0.4,London Fields
96,49,"£375,000",0.2,Hackney Downs
97,49,"£375,000",0.4,Hackney Central
98,50,"£675,000",0.1,Clapton
99,50,"£675,000",0.4,Rectory Road
100,51,"£360,000",0.2,London Fields
101,51,"£360,000",0.4,Hackney Central
102,52,"£595,000",0.3,London Fields
103,52,"£595,000",0.5,Hackney Central
104,53,"£1,100,000",0.3,London Fields
105,53,"£1,100,000",0.5,Hackney Central
106,54,"£625,000",0.2,Rectory Road
107,54,"£625,000",0.5,Hackney Downs
108,55,"£425,000",0.4,Hackney Downs
109,55,"£425,000",0.5,Hackney Central
110,56,"£1,850,000",0.3,Haggerston
111,56,"£1,850,000",0.4,Dalston Junction
112,57,"£415,000",0.3,Hackney Downs
113,57,"£415,000",0.3,Dalston Kingsland
114,58,"£350,000",0.4,Clapton
115,58,"£350,000",0.7,Lea Bridge
116,59,"£1,595,000",0.4,London Fields
117,59,"£1,595,000",0.4,Haggerston
118,60,"£9,000",0.2,Clapton
119,60,"£9,000",0.7,Rectory Road
120,61,"£280,000",0.3,London Fields
121,61,"£280,000",0.4,Hackney Downs
122,62,"£350,000",0.1,Dalston Junction
123,62,"£350,000",0.3,Dalston Kingsland
124,63,"£600,000",0.5,London Fields
125,63,"£600,000",0.6,Cambridge Heath
126,64,"£385,000",0.3,Hackney Central
127,64,"£385,000",0.5,Hackney Downs
128,65,"£749,995",0.6,Homerton
129,65,"£749,995",0.7,London Fields
130,66,"£600,000",0.5,Hackney Downs
131,66,"£600,000",0.5,Hackney Central
132,67,"£450,000",0.4,Hackney Central
133,67,"£450,000",0.4,Homerton
134,68,"£375,000",0.3,Hackney Central
135,68,"£375,000",0.4,Hackney Downs
136,69,"£920,000",0.3,Homerton
137,69,"£920,000",0.5,Hackney Central
138,70,"£1,600,000",0.3,Dalston Junction
139,70,"£1,600,000",0.4,Dalston Kingsland
140,71,"£300,000",0.3,Hackney Downs
141,71,"£300,000",0.4,Hackney Central
142,72,"£350,000",0.3,Hackney Central
143,72,"£350,000",0.4,Homerton
144,73,"£400,000",0.1,London Fields
145,73,"£400,000",0.4,Hackney Central
146,74,"£850,000",0.1,Dalston Junction
147,74,"£850,000",0.2,Dalston Kingsland
148,75,"£750,000",0.3,Hackney Downs
149,75,"£750,000",0.4,Dalston Kingsland
150,76,"£540,000",0.1,London Fields
151,76,"£540,000",0.3,Hackney Central
152,77,"£750,000",0.1,London Fields
153,77,"£750,000",0.3,Hackney Central
154,78,"£680,000",0.1,Dalston Junction
155,78,"£680,000",0.3,Dalston Kingsland
156,79,"£770,000",0.6,Stamford Hill
157,79,"£770,000",0.6,Stoke Newington
158,80,"£700,000",0.6,Stamford Hill
159,80,"£700,000",0.6,Stoke Newington
160,81,"£480,000",0.6,Stamford Hill
161,81,"£480,000",0.6,Stoke Newington
162,82,"£1,600,000",0.2,Hackney Central
163,82,"£1,600,000",0.2,London Fields
164,83,"£350,000",0.2,Clapton
165,83,"£350,000",0.4,Rectory Road
166,84,"£600,000",0.5,London Fields
167,84,"£600,000",0.6,Cambridge Heath
168,85,"£575,000",0.1,Haggerston
169,85,"£575,000",0.4,Dalston Junction
170,86,"£475,000",0.1,Clapton
171,86,"£475,000",0.5,Rectory Road
172,87,"£750,000",0.3,Clapton
173,87,"£750,000",0.7,Rectory Road
174,88,"£900,000",0.5,London Fields
175,88,"£900,000",0.6,Homerton
176,89,"£500,000",0.2,Haggerston
177,89,"£500,000",0.3,Dalston Junction
178,90,"£599,995",0.4,Cambridge Heath
179,90,"£599,995",0.4,London Fields
180,91,"£900,000",0.6,Cambridge Heath
181,91,"£900,000",0.6,London Fields
182,92,"£670,000",0.4,Hackney Downs
183,92,"£670,000",0.5,Hackney Central
184,93,"£340,000",0.1,London Fields
185,93,"£340,000",0.4,Hackney Central
186,94,"£625,000",0.1,London Fields
187,94,"£625,000",0.3,Hackney Central
188,95,"£620,000",0.1,Dalston Junction
189,95,"£620,000",0.3,Dalston Kingsland
190,96,"£600,000",0.5,Clapton
191,96,"£600,000",0.7,Hackney Central
192,97,"£1,300,000",0.6,Clapton
193,97,"£1,300,000",0.8,Homerton
194,98,"£750,000",0.1,London Fields
195,98,"£750,000",0.4,Hackney Central
196,99,"£625,000",0.1,London Fields
197,99,"£625,000",0.4,Hackney Central
198,100,"£540,000",0.1,London Fields
199,100,"£540,000",0.4,Hackney Central
200,101,"£850,000",0.2,Dalston Kingsland
201,101,"£850,000",0.4,Dalston Junction
202,102,"£400,000",0.3,Cambridge Heath
203,102,"£400,000",0.4,London Fields
204,103,"£1,600,000",0.3,Hackney Central
205,103,"£1,600,000",0.3,London Fields
206,104,"£350,000",0.3,Hackney Downs
207,104,"£350,000",0.3,Hackney Central
208,105,"£575,000",0.2,Haggerston
209,105,"£575,000",0.3,Hoxton
210,106,"£700,000",0.4,Dalston Junction
211,106,"£700,000",0.4,Hackney Downs
212,107,"£525,000",0.4,Hackney Downs
213,107,"£525,000",0.4,Dalston Kingsland
