,Station,Tube Line,Transport Zone,Address,Longitude,Latitude
0,Abbey Road,Overground line,Zone 3,"London E15 3EB, UK",0.003723371,51.53195199
1,Abbey Wood,Overground line,Zone 4,"Abbey Wood, London SE2, UK",0.12027197,51.4907841
2,Acton Central,Overground line,Zone 2,"Churchfield Rd, Acton, London W3 6BS, UK",-0.263430199,51.50875778
3,Acton Main Line,Overground line,Zone 3,"Acton, London W3, UK",-0.267689952,51.51688693
4,Acton Town,District line,Zone 3,"Gunnersbury Ln, Acton, London W3 8HN, UK",-0.280302701,51.50307144
5,Acton Town,Piccadilly line,Zone 3,"Gunnersbury Ln, Acton, London W3 8HN, UK",-0.280302701,51.50307144
6,Addington Village,Overground line,Zone 3,"Croydon CR0 9BA, UK",-0.0326651,51.35623859
7,Addington Village,Overground line,Zone 4,"Croydon CR0 9BA, UK",-0.0326651,51.35623859
8,Addington Village,Overground line,Zone 5,"Croydon CR0 9BA, UK",-0.0326651,51.35623859
9,Addington Village,Overground line,Zone 6,"Croydon CR0 9BA, UK",-0.0326651,51.35623859
10,Addiscombe,Overground line,Zone 3,"Croydon CR0 7AA, UK",-0.073213283,51.37980829
11,Addiscombe,Overground line,Zone 4,"Croydon CR0 7AA, UK",-0.073213283,51.37980829
12,Addiscombe,Overground line,Zone 5,"Croydon CR0 7AA, UK",-0.073213283,51.37980829
13,Addiscombe,Overground line,Zone 6,"Croydon CR0 7AA, UK",-0.073213283,51.37980829
14,Albany Park,Overground line,Zone 5,"Bexley DA14 4PF, UK",0.126444638,51.43581561
15,Aldgate,Circle line (London Underground),Zone 1,"London, UK",-0.075626913,51.51434238
16,Aldgate,Metropolitan line,Zone 1,"London, UK",-0.075626913,51.51434238
17,Aldgate East,District line,Zone 1,"London E1 7PU, UK",-0.073001463,51.51508162
18,Aldgate East,Hammersmith & City line,Zone 1,"London E1 7PU, UK",-0.073001463,51.51508162
19,Alexandra Palace,Overground line,Zone 3,"London N22, UK",-0.120148972,51.59826282
20,All Saints,Overground line,Zone 2,"Poplar, London E14 0EH, UK",-0.012624885,51.51047692
21,Alperton,Piccadilly line,Zone 4,"Alperton, Wembley HA0 4LU, UK",-0.299515759,51.54120927
22,Amersham,Metropolitan line,Zone 9,"Amersham HP6 5AZ, UK",-0.606513789,51.67412932
23,Ampere Way,Overground line,Zone 3,"Croydon CR0 3JX, UK",-0.123636799,51.38229942
24,Ampere Way,Overground line,Zone 4,"Croydon CR0 3JX, UK",-0.123636799,51.38229942
25,Ampere Way,Overground line,Zone 5,"Croydon CR0 3JX, UK",-0.123636799,51.38229942
26,Ampere Way,Overground line,Zone 6,"Croydon CR0 3JX, UK",-0.123636799,51.38229942
27,Anerley,Overground line,Zone 4,"Anerley, London, UK",-0.0651371,51.41251672
28,Angel,Northern line,Zone 1,"Islington, London N1 8XX, UK",-0.105581449,51.53296802
29,Angel Road,Overground line,Zone 4,"London N18 3AH, UK",-0.048732919,51.61242032
30,Archway,Northern line,Zone 2,"Archway, London of Freedom#8573311~!#, UK",-0.135121577,51.56549053
31,Archway,Northern line,Zone 3,"Archway, London of Freedom#8573311~!#, UK",-0.135121577,51.56549053
32,Arena,Overground line,Zone 3,"Albert Rd, London SE25 4RY, UK",-0.05831855,51.39152275
33,Arena,Overground line,Zone 4,"Albert Rd, London SE25 4RY, UK",-0.05831855,51.39152275
34,Arena,Overground line,Zone 5,"Albert Rd, London SE25 4RY, UK",-0.05831855,51.39152275
35,Arena,Overground line,Zone 6,"Albert Rd, London SE25 4RY, UK",-0.05831855,51.39152275
36,Arnos Grove,Piccadilly line,Zone 4,"Arnos Grove, London N11, UK",-0.134270219,51.61623014
37,Arsenal,Piccadilly line,Zone 2,"London N5 1LP, London of Freedom#8573311~!#, UK",-0.105499934,51.55854138
38,Avenue Road,Overground line,Zone 3,"Beckenham BR3 4NJ, UK",-0.049446937,51.40679798
39,Avenue Road,Overground line,Zone 4,"Beckenham BR3 4NJ, UK",-0.049446937,51.40679798
40,Avenue Road,Overground line,Zone 5,"Beckenham BR3 4NJ, UK",-0.049446937,51.40679798
41,Avenue Road,Overground line,Zone 6,"Beckenham BR3 4NJ, UK",-0.049446937,51.40679798
